model,layer,transform,group,cos
glove,,mean_center_l2,intra,0.2840563952922821
glove,,mean_center_l2,intra,0.5054804682731628
glove,,mean_center_l2,intra,0.3778251111507416
glove,,mean_center_l2,intra,0.1022501289844513
glove,,mean_center_l2,intra,0.5069430470466614
glove,,mean_center_l2,intra,0.7606724500656128
glove,,mean_center_l2,intra,0.6779794096946716
glove,,mean_center_l2,intra,0.265888512134552
glove,,mean_center_l2,intra,0.5977835059165955
glove,,mean_center_l2,intra,0.38767009973526
glove,,mean_center_l2,intra,0.04166054353117943
glove,,mean_center_l2,intra,0.6173607110977173
glove,,mean_center_l2,intra,0.20266953110694885
glove,,mean_center_l2,intra,0.29636985063552856
glove,,mean_center_l2,intra,0.35315126180648804
glove,,mean_center_l2,intra,0.5306826829910278
glove,,mean_center_l2,intra,0.4533024728298187
glove,,mean_center_l2,intra,0.4391738772392273
glove,,mean_center_l2,intra,0.2899670898914337
glove,,mean_center_l2,intra,0.32038575410842896
glove,,mean_center_l2,intra,0.3743172883987427
glove,,mean_center_l2,intra,0.5666440725326538
glove,,mean_center_l2,intra,0.47220999002456665
glove,,mean_center_l2,intra,0.5337833166122437
glove,,mean_center_l2,intra,0.5477715134620667
glove,,mean_center_l2,intra,0.6259654760360718
glove,,mean_center_l2,intra,0.5472058057785034
glove,,mean_center_l2,intra,0.29297804832458496
glove,,mean_center_l2,intra,0.6309921145439148
glove,,mean_center_l2,intra,0.3933229446411133
glove,,mean_center_l2,intra,0.34208765625953674
glove,,mean_center_l2,intra,0.3791685104370117
glove,,mean_center_l2,intra,0.19278357923030853
glove,,mean_center_l2,intra,0.5602989792823792
glove,,mean_center_l2,intra,0.729353129863739
glove,,mean_center_l2,intra,0.5770547986030579
glove,,mean_center_l2,intra,0.5378457903862
glove,,mean_center_l2,intra,0.4531422555446625
glove,,mean_center_l2,intra,0.4352395534515381
glove,,mean_center_l2,intra,0.24877382814884186
glove,,mean_center_l2,intra,0.2578006684780121
glove,,mean_center_l2,intra,0.513411819934845
glove,,mean_center_l2,intra,0.5038670301437378
