model,layer,transform_type,delta_cos
bert,1.0,verb_regular,0.11584454029798508
bert,1.0,verb_regular,0.16684260964393616
bert,1.0,verb_regular,0.44945162534713745
bert,1.0,verb_regular,0.0662039965391159
bert,1.0,verb_regular,0.2690083384513855
bert,1.0,verb_regular,0.010016059502959251
bert,1.0,verb_regular,0.07950183749198914
bert,1.0,verb_regular,0.17105364799499512
bert,1.0,verb_regular,0.2520955204963684
bert,1.0,verb_regular,0.35791927576065063
bert,1.0,verb_regular,0.34837502241134644
bert,1.0,verb_regular,0.38547849655151367
bert,6.0,verb_regular,0.20126056671142578
bert,6.0,verb_regular,0.4006461203098297
bert,6.0,verb_regular,0.47766605019569397
bert,6.0,verb_regular,0.10950998961925507
bert,6.0,verb_regular,0.1875259131193161
bert,6.0,verb_regular,0.3026564121246338
bert,6.0,verb_regular,0.06790141761302948
bert,6.0,verb_regular,0.1637822687625885
bert,6.0,verb_regular,0.22048363089561462
bert,6.0,verb_regular,0.014554711058735847
bert,6.0,verb_regular,0.05848606303334236
bert,6.0,verb_regular,0.5140718817710876
bert,6.0,verb_regular,0.1417163610458374
bert,6.0,verb_regular,0.1735735982656479
bert,6.0,verb_regular,0.33716657757759094
bert,6.0,verb_regular,0.05078926682472229
bert,6.0,verb_regular,0.13788513839244843
bert,6.0,verb_regular,0.4116324484348297
bert,6.0,verb_regular,0.10767355561256409
bert,6.0,verb_regular,0.5028274059295654
bert,6.0,verb_regular,0.1345137059688568
bert,6.0,verb_regular,0.10274646431207657
bert,6.0,verb_regular,0.5759304761886597
bert,6.0,verb_regular,0.15699923038482666
bert,6.0,verb_regular,0.04911451041698456
bert,6.0,verb_regular,0.15662232041358948
bert,6.0,verb_regular,0.04968870058655739
bert,6.0,verb_regular,0.1967366635799408
bert,6.0,verb_regular,0.4218772053718567
bert,6.0,verb_regular,0.2174989879131317
bert,6.0,verb_regular,0.030770152807235718
bert,6.0,verb_regular,0.48379960656166077
bert,6.0,verb_regular,0.052509140223264694
bert,6.0,verb_regular,0.22268308699131012
bert,6.0,verb_regular,0.1677374541759491
bert,6.0,verb_regular,0.4255651831626892
bert,6.0,verb_regular,0.11793550848960876
bert,6.0,verb_regular,0.1519651710987091
bert,6.0,verb_regular,0.4823393225669861
bert,6.0,verb_regular,0.23888978362083435
bert,6.0,verb_regular,0.10637388378381729
bert,6.0,verb_regular,0.36741000413894653
bert,6.0,verb_regular,0.26642999053001404
bert,6.0,verb_regular,0.21508830785751343
bert,6.0,verb_regular,0.33499670028686523
bert,6.0,verb_regular,0.11298613995313644
bert,6.0,verb_regular,0.0718565583229065
bert,6.0,verb_regular,0.21944887936115265
bert,6.0,verb_regular,0.34040141105651855
bert,6.0,verb_regular,0.4309530258178711
bert,6.0,verb_regular,0.26145684719085693
bert,6.0,verb_regular,0.07829801738262177
bert,6.0,verb_regular,0.1642051488161087
bert,6.0,verb_regular,0.34660428762435913
bert,6.0,verb_regular,0.091690793633461
bert,6.0,verb_regular,0.16922703385353088
bert,6.0,verb_regular,0.5391862988471985
bert,6.0,verb_regular,0.14202824234962463
bert,6.0,verb_regular,0.19963747262954712
bert,6.0,verb_regular,0.49187543988227844
