model,layer,pair_type,cos
glove,,ant,0.23069365322589874
glove,,ant,0.39390018582344055
glove,,ant,0.5043297410011292
glove,,ant,0.5210986137390137
glove,,ant,0.10697730630636215
glove,,ant,0.41772639751434326
glove,,ant,0.3095172047615051
glove,,ant,0.642166018486023
glove,,ant,0.7376006245613098
glove,,ant,0.41876402497291565
glove,,ant,0.612031877040863
glove,,ant,0.4407425820827484
glove,,ant,0.7580593824386597
glove,,ant,0.9333420991897583
glove,,ant,0.3565751910209656
glove,,ant,0.3730347156524658
glove,,ant,0.7056686282157898
glove,,ant,0.7931678891181946
glove,,ant,0.6680907607078552
glove,,ant,0.5718886256217957
glove,,ant,0.5704274773597717
glove,,ant,0.6250739693641663
glove,,ant,0.6000458598136902
glove,,ant,0.013960031792521477
glove,,ant,0.903663158416748
glove,,ant,0.4845782220363617
glove,,ant,0.6714688539505005
glove,,ant,0.7354258894920349
glove,,ant,0.7061504125595093
glove,,ant,0.6693259477615356
glove,,ant,0.7567673921585083
glove,,ant,0.7217214703559875
glove,,ant,0.5944821238517761
glove,,ant,0.49159085750579834
glove,,ant,0.8033333420753479
glove,,ant,0.20294730365276337
glove,,ant,0.39354053139686584
glove,,ant,0.3726669251918793
glove,,ant,0.6650263667106628
glove,,ant,0.5472756624221802
glove,,ant,0.4572698473930359
glove,,ant,0.6984456777572632
glove,,ant,0.7886591553688049
glove,,ant,0.39200401306152344
glove,,ant,0.4621390998363495
glove,,ant,0.6543209552764893
glove,,ant,0.5171511769294739
glove,,ant,0.47078999876976013
glove,,ant,0.5582064390182495
glove,,ant,0.3509626090526581
glove,,ant,0.6427081227302551
glove,,ant,0.6091595888137817
glove,,ant,0.1874495893716812
glove,,ant,0.4873288571834564
glove,,ant,0.7243724465370178
glove,,ant,0.31349095702171326
glove,,ant,0.3920649588108063
glove,,ant,0.2024945616722107
glove,,ant,0.3250277638435364
glove,,ant,0.6632119417190552
glove,,ant,0.41007643938064575
glove,,ant,0.6349321603775024
glove,,ant,0.37719854712486267
glove,,ant,0.6455569863319397
glove,,ant,0.37167444825172424
glove,,ant,0.5233098864555359
glove,,ant,0.5211382508277893
glove,,ant,0.8124581575393677
glove,,ant,0.535159707069397
glove,,ant,0.6456789374351501
glove,,ant,0.35947296023368835
glove,,ant,0.4656827449798584
glove,,ant,0.6905239224433899
glove,,ant,0.726186215877533
glove,,ant,0.33247122168540955
glove,,ant,0.46798986196517944
glove,,ant,0.6970076560974121
glove,,ant,0.6107653379440308
glove,,ant,0.5965789556503296
glove,,ant,0.4306926727294922
glove,,ant,0.2693881392478943
glove,,ant,0.8189891576766968
glove,,ant,0.531509518623352
glove,,ant,0.34905844926834106
glove,,ant,0.7466579675674438
glove,,ant,0.4043635427951813
glove,,ant,0.7749301195144653
glove,,ant,0.7081144452095032
glove,,ant,0.5903975963592529
glove,,ant,0.4260375499725342
glove,,ant,0.8237570524215698
glove,,ant,0.6514553427696228
glove,,ant,0.49491095542907715
glove,,ant,0.5668707489967346
glove,,ant,0.9276714324951172
glove,,ant,0.7009646892547607
glove,,ant,0.5477016568183899
glove,,ant,0.45690402388572693
glove,,ant,0.7302547097206116
glove,,ant,0.5483275651931763
glove,,ant,0.2948611378669739
glove,,ant,0.5495140552520752
glove,,ant,0.7278701066970825
glove,,ant,0.39244991540908813
glove,,ant,0.5985339283943176
glove,,ant,0.623149573802948
glove,,ant,0.16079531610012054
glove,,ant,0.3069385588169098
glove,,ant,0.30556267499923706
glove,,ant,0.8445419669151306
glove,,ant,0.6326268315315247
glove,,ant,0.24056491255760193
glove,,ant,0.2148924618959427
glove,,ant,0.38415637612342834
glove,,ant,0.616258978843689
glove,,ant,0.7790988087654114
glove,,ant,0.3999110162258148
glove,,ant,0.3212398886680603
glove,,ant,0.9064050912857056
glove,,ant,0.9464976191520691
glove,,ant,0.8511674404144287
glove,,ant,0.5426058769226074
glove,,ant,0.46239328384399414
glove,,ant,0.24273212254047394
glove,,ant,0.8013774752616882
